GEOID,dist_type,store_rowid_p,dist,row,duration,mb_rank
13089020100,D1,10,4327.590662430411,4326,12.430916666666667,MB1
13089020100,D2,8,12546.030403931762,4327,23.4831,MB2
13089020100,D3,54,19735.71309951427,4328,29.496333333333332,MB3
13089020100,D4,9,28995.349228847324,4329,32.60545,MB4
13089020100,D5,118,30916.68454335492,4330,39.34683333333333,MB5
13089020200,D1,10,4086.26865766622,4341,9.625300000000001,MB1
13089020200,D2,8,12703.913701766669,4342,19.663833333333333,MB2
13089020200,D3,54,18051.76184621992,4343,25.677083333333332,MB3
13089020200,D4,9,27351.29848526232,4344,28.786216666666668,MB4
13089020200,D5,118,30506.842306355713,4345,35.75083333333334,MB5
13089020300,D1,10,5245.897868630997,4346,13.658716666666667,MB1
13089020300,D2,8,13748.965545842879,4347,21.394949999999998,MB2
13089020300,D3,54,18036.707179585264,4348,26.976466666666667,MB3
13089020300,D4,9,27320.3232994245,4349,30.085583333333332,MB4
13089020300,D5,118,29571.76356407228,4350,37.56111666666666,MB5
13089020400,D1,10,3947.290239756447,4291,11.717216666666667,MB1
13089020400,D2,8,12393.995592956135,4292,17.858433333333334,MB2
13089020400,D3,54,17039.102571449865,4293,23.439966666666667,MB3
13089020400,D4,9,26337.67057926971,4294,26.549083333333332,MB4
13089020400,D5,118,30929.561154692212,4295,38.7649,MB5
13089020500,D1,10,4882.836631660708,4296,13.453,MB1
13089020500,D2,8,12883.884749019448,4297,15.523983333333332,MB2
13089020500,D3,54,16234.080318435254,4298,21.105516666666666,MB3
13089020500,D4,9,25506.32989234803,4299,24.21463333333333,MB4
13089020500,D5,118,30804.877583483558,4300,36.43046666666667,MB5
13089020600,D1,10,5062.676690663723,4301,15.4047,MB1
13089020600,D2,8,13317.60400886616,4302,18.297383333333336,MB2
13089020600,D3,54,17008.681933357126,4303,23.878916666666665,MB3
13089020600,D4,9,26282.89427853007,4304,26.98803333333333,MB4
13089020600,D5,118,30201.969858453813,4305,39.203833333333336,MB5
13089020700,D1,10,6133.355719986143,4946,16.22495,MB1
13089020700,D2,8,14366.216469029572,4947,16.796766666666667,MB2
13089020700,D3,54,17530.770559065775,4948,22.378316666666667,MB3
13089020700,D4,9,26765.348345983086,4949,25.487433333333335,MB4
13089020700,D5,118,29257.85123429266,4950,36.66746666666666,MB5
13089020801,D1,10,6783.003230945714,4306,16.033133333333335,MB1
13089020801,D2,8,15125.575756180142,4307,18.58285,MB2
13089020801,D3,54,18313.355737670918,4308,24.164383333333333,MB3
13089020801,D4,9,27530.87612987605,4309,27.273500000000002,MB4
13089020801,D5,118,28429.29674633472,4310,37.50575,MB5
13089020802,D1,10,8389.123810524336,326,17.959616666666665,MB1
13089020802,D2,8,16611.780929917357,327,18.254916666666666,MB2
13089020802,D3,54,18887.755732150687,328,23.83645,MB3
13089020802,D5,9,27998.615401768173,330,26.945566666666664,MB4
13089020802,D4,118,27232.533871426134,329,35.11371666666666,MB5
13089020901,D2,8,13308.313901961541,1317,15.618616666666666,MB1
13089020901,D1,10,5811.996280613546,1316,15.985116666666666,MB2
13089020901,D3,54,15492.49172102491,1318,21.20015,MB3
13089020901,D4,9,24712.941666642426,1319,26.348066666666668,MB4
13089020901,D5,118,30897.340297895407,1320,34.188383333333334,MB5
13089020902,D2,8,14466.727567760203,4452,16.062933333333334,MB1
13089020902,D1,10,7192.24139798586,4451,17.816983333333333,MB2
13089020902,D3,54,15584.502729744921,4453,21.644466666666666,MB3
13089020902,D4,9,24696.023143851264,4454,26.069483333333334,MB4
13089020902,D5,118,30265.739220074993,4455,34.18855,MB5
13089021101,D1,10,12891.083215683435,181,23.443733333333334,MB1
13089021101,D2,8,17792.936109494163,182,31.211383333333334,MB2
13089021101,D3,54,28448.61894651119,183,39.22966666666667,MB3
13089021101,D5,9,37403.87343450793,185,42.3388,MB4
13089021101,D4,118,32443.235193721703,184,44.663066666666666,MB5
13089021103,D1,10,11435.759221511596,4566,21.623466666666666,MB1
13089021103,D2,8,16699.00569705384,4567,30.159466666666667,MB2
13089021103,D3,54,27054.79433365832,4568,36.39873333333333,MB3
13089021103,D5,9,36058.477340732745,4570,39.50786666666667,MB4
13089021103,D4,118,32047.686820957922,4569,42.3491,MB5
13089021104,D1,10,10034.545788371166,1211,18.676783333333333,MB1
13089021104,D2,8,15551.079941801569,1212,27.22801666666667,MB2
13089021104,D3,54,25679.01741650507,1213,34.46273333333333,MB3
13089021104,D5,9,34708.87496044737,1215,37.571866666666665,MB4
13089021104,D4,118,32019.79411906837,1214,43.4476,MB5
13089021204,D1,10,13905.204490667775,266,22.058433333333333,MB1
13089021204,D2,8,20138.94641196985,267,30.6097,MB2
13089021204,D5,40,34494.105446019195,270,31.619899999999998,MB3
13089021204,D4,54,29654.45664881393,269,37.844366666666666,MB4
13089021204,D3,118,28850.397066438738,268,39.09521666666667,MB5
13089021208,D1,10,15514.05108118525,366,23.151183333333332,MB1
13089021208,D2,8,21115.444483309773,367,29.48395,MB2
13089021208,D5,40,34301.951808932325,370,30.17123333333333,MB3
13089021208,D3,118,30118.10130724441,368,36.70596666666667,MB4
13089021208,D4,54,31245.575969074125,369,39.41278333333333,MB5
13089021210,D1,10,19502.348319086654,371,26.450816666666665,MB1
13089021210,D2,8,23959.241610907226,372,30.13095,MB2
13089021210,D4,40,34143.08824859605,374,33.31466666666667,MB3
13089021210,D3,118,33029.66717931978,373,39.849349999999994,MB4
13089021210,D5,54,35042.492254122844,375,40.059783333333336,MB5
13089021211,D1,10,20998.85788506927,376,25.877083333333335,MB1
13089021211,D2,8,26039.187457937016,377,30.991966666666666,MB2
13089021211,D4,40,31588.825047428683,379,32.897133333333336,MB3
13089021211,D3,118,31265.761202212525,378,39.431850000000004,MB4
13089021211,D5,54,36688.96484953948,380,40.9208,MB5
13089021213,D1,10,19855.373600953422,446,27.0293,MB1
13089021213,D2,8,23208.123537453976,447,31.16585,MB2
13089021213,D5,40,36890.34271158539,450,38.32476666666666,MB3
13089021213,D3,54,34983.92608379721,448,41.09466666666666,MB4
13089021213,D4,118,36083.52869251762,449,44.85943333333333,MB5
13089021217,D1,10,18767.18713824323,196,23.35888333333333,MB1
13089021217,D2,8,24078.49680813946,197,29.145866666666667,MB2
13089021217,D4,40,32424.53553487537,199,30.378933333333336,MB3
13089021217,D3,118,30459.56495114646,198,36.91366666666667,MB4
13089021217,D5,54,34484.36308638609,200,39.0747,MB5
13089021219,D1,10,15413.88162926345,4641,20.653000000000002,MB1
13089021219,D2,8,19871.560737590582,4642,23.885983333333336,MB2
13089021219,D5,40,36769.35925329059,4645,32.13751666666666,MB3
13089021219,D3,54,30890.379265685653,4643,33.81485,MB4
13089021219,D4,118,33097.50737826052,4644,38.67223333333333,MB5
13089021220,D1,10,15761.072650908523,1141,25.24185,MB1
13089021220,D2,8,20798.723495058206,1142,28.47485,MB2
13089021220,D5,40,35289.10262155983,1145,34.37961666666667,MB3
13089021220,D3,54,31402.588294059304,1143,38.403666666666666,MB4
13089021220,D4,118,31601.219964349177,1144,40.914300000000004,MB5
13089021221,D1,10,14208.020987563108,1246,22.856083333333334,MB1
13089021221,D2,8,19114.789169990945,1247,26.089083333333335,MB2
13089021221,D5,40,36719.12752073314,1250,34.34061666666666,MB3
13089021221,D3,54,29793.753492764434,1248,36.01793333333333,MB4
13089021221,D4,118,32176.828306787917,1249,40.8753,MB5
13089021222,D1,10,13897.842741258675,4401,22.9344,MB1
13089021222,D2,8,19384.856598357943,4402,28.953366666666668,MB2
13089021222,D5,40,35852.428086209766,4405,33.580083333333334,MB3
13089021222,D3,54,29601.247995743226,4403,38.8822,MB4
13089021222,D4,118,30827.823938529506,4404,40.11476666666667,MB5
13089021223,D1,10,18540.593179342464,1231,25.0634,MB1
13089021223,D2,8,22395.38219748563,1232,28.47125,MB2
13089021223,D5,40,36247.574457074414,1235,34.56796666666666,MB3
13089021223,D3,54,33859.31489269679,1233,38.40006666666667,MB4
13089021223,D4,118,34617.23314259355,1234,41.10263333333333,MB5
13089021224,D1,10,18340.841361460785,1091,26.50678333333333,MB1
13089021224,D2,8,23340.414024051555,1092,30.987333333333332,MB2
13089021224,D4,40,33509.05285841507,1094,33.52683333333333,MB3
13089021224,D3,118,31444.788185190715,1093,40.06153333333334,MB4
13089021224,D5,54,34002.798099991785,1095,40.91616666666666,MB5
13089021225,D1,10,17476.743809973326,1146,23.275516666666665,MB1
13089021225,D2,8,22339.37172223746,1147,26.47665,MB2
13089021225,D5,40,34444.75594086223,1150,30.9943,MB3
13089021225,D4,54,33099.615090246676,1149,36.405483333333336,MB4
13089021225,D3,118,31894.27151222935,1148,37.52903333333334,MB5
13089021226,D1,10,16816.00860232957,1241,22.875433333333334,MB1
13089021226,D2,8,21144.186272033177,1242,26.108433333333334,MB2
13089021226,D5,40,36131.02941361983,1245,34.56875,MB3
13089021226,D3,54,32276.22606519823,1243,36.03726666666667,MB4
13089021226,D4,118,33347.49921167748,1244,41.10341666666667,MB5
13089021227,D1,10,17660.111717757274,1161,25.735566666666667,MB1
13089021227,D2,8,21958.11906720429,1162,28.936716666666666,MB2
13089021227,D5,40,35671.371226659394,1165,33.310050000000004,MB3
13089021227,D3,54,33124.62419664008,1163,38.86553333333333,MB4
13089021227,D4,118,33420.09243867178,1164,39.84475,MB5
13089021228,D1,10,20879.041774431298,1216,27.299283333333335,MB1
13089021228,D2,8,24969.35555211382,1217,31.435816666666664,MB2
13089021228,D4,40,34370.85451418634,1219,35.92151666666667,MB3
13089021228,D5,54,36319.56440667528,1220,41.36465,MB4
13089021228,D3,118,34215.11771884269,1218,42.456199999999995,MB5
13089021229,D1,10,20656.452438741173,1276,28.70925,MB1
13089021229,D2,8,24291.423080035373,1277,32.845800000000004,MB2
13089021229,D4,40,35758.5728426222,1279,40.0047,MB3
13089021229,D5,54,35920.85329560424,1280,42.77461666666667,MB4
13089021229,D3,118,35470.028855211116,1278,46.539366666666666,MB5
13089021230,D1,10,17105.625659864607,1101,22.421666666666667,MB1
13089021230,D2,8,20877.963821586105,1102,25.654666666666667,MB2
13089021230,D5,40,37238.33543709983,1105,34.114983333333335,MB3
13089021230,D3,54,32363.696551343273,1103,35.58351666666667,MB4
13089021230,D4,118,34724.97852152459,1104,40.64966666666667,MB5
13089021301,D1,10,16743.895282187394,451,21.92435,MB1
13089021301,D2,8,22543.982160155032,452,28.151816666666665,MB2
13089021301,D5,40,32870.43354597159,455,28.944399999999998,MB3
13089021301,D3,118,29250.46524018047,453,35.47913333333334,MB4
13089021301,D4,54,32493.971301159894,454,38.08065,MB5
13089021305,D1,10,19887.090426616887,111,24.595566666666667,MB1
13089021305,D2,8,25396.365814940855,112,29.710433333333334,MB2
13089021305,D4,40,31081.261536522383,114,31.615616666666664,MB3
13089021305,D3,118,29716.41435523614,113,38.15035,MB4
13089021305,D5,54,35629.321718696185,115,39.63926666666667,MB5
13089021306,D1,10,18446.686763171383,146,24.30728333333333,MB1
13089021306,D2,8,24340.684700572572,147,29.482449999999996,MB2
13089021306,D4,40,31250.66685005662,149,31.862283333333334,MB3
13089021306,D3,118,28594.915977996785,148,37.92236666666667,MB4
13089021306,D5,54,34198.578048534495,150,39.41128333333334,MB5
13089021307,D1,10,16099.237983024996,96,20.702916666666667,MB1
13089021307,D5,40,31996.50570147972,100,29.93845,MB2
13089021307,D2,8,22609.373106868366,97,30.93613333333333,MB3
13089021307,D3,118,27174.13271224929,98,36.17126666666666,MB4
13089021307,D4,54,31803.084609107027,99,36.48885,MB5
13089021308,D1,10,14127.390580044237,151,17.825166666666668,MB1
13089021308,D2,8,20809.74379383816,152,26.3764,MB2
13089021308,D5,40,33540.3966105361,155,28.248866666666668,MB3
13089021308,D4,54,29819.102343020604,154,33.611133333333335,MB4
13089021308,D3,118,27454.08620790831,153,36.78268333333333,MB5
13089021309,D1,10,17442.565937126466,1176,23.630550000000003,MB1
13089021309,D4,40,30791.010545954,1179,29.1448,MB2
13089021309,D2,8,23940.929167861144,1177,30.963016666666665,MB3
13089021309,D3,118,26745.51168564338,1178,37.497150000000005,MB4
13089021309,D5,54,33135.79204499124,1180,40.89185,MB5
13089021310,D1,10,18512.73191243918,1221,20.286616666666664,MB1
13089021310,D4,40,29803.769262342903,1224,26.134766666666668,MB2
13089021310,D2,8,25019.458721870637,1222,30.543783333333334,MB3
13089021310,D3,118,26384.365551193227,1223,34.15321666666667,MB4
13089021310,D5,54,34193.85628216643,1225,36.07255,MB5
13089021405,D1,10,10091.88370931891,2306,19.755850000000002,MB1
13089021405,D2,8,16289.944388136635,2307,27.435366666666667,MB2
13089021405,D3,54,25837.599545197765,2308,34.67006666666667,MB3
13089021405,D5,9,34962.03044390273,2310,37.779199999999996,MB4
