GEOID,dist_type,store_rowid,row,duration,mb_rank
13089023425,D1,304,4351,3.5103500000000003,MB1
13089021906,D1,844,4706,3.5456333333333334,MB1
13135050443,D1,517,3541,3.5583,MB1
13089023446,D1,302,4471,3.6059666666666668,MB1
13067030112,D1,6,1666,3.62995,MB1
13089023115,D1,690,246,3.6477500000000003,MB1
13135050542,D1,345,2476,3.6548833333333333,MB1
13121011307,D1,348,3811,3.6885333333333334,MB1
13135050454,D1,519,3481,3.6944,MB1
13089023213,D1,305,421,3.7209,MB1
13121007400,D2,48,4372,3.7294,MB2
13067030113,D1,6,1881,3.742233333333333,MB1
13121010214,D1,46,3761,3.7534666666666667,MB1
13089023222,D1,722,4521,3.766433333333333,MB1
13135050569,D1,268,3126,3.7748833333333334,MB1
13089023328,D2,523,4562,3.790216666666667,MB2
13089023220,D1,722,4511,3.8026,MB1
13121004100,D1,47,2561,3.8065833333333337,MB1
13063040531,D1,217,3696,3.807533333333333,MB1
13135050465,D1,517,2711,3.8113,MB1
13067031004,D2,569,2262,3.815716666666667,MB2
13121001203,D1,59,821,3.833383333333333,MB1
13135050415,D1,518,241,3.8346333333333336,MB1
13135050308,D1,616,66,3.8499333333333334,MB1
13121011309,D1,348,721,3.8518166666666667,MB1
13121007705,D1,56,51,3.85385,MB1
13121006601,D1,48,4711,3.85475,MB1
13121004200,D1,47,2376,3.8924166666666666,MB1
13135050577,D1,345,3531,3.9082500000000002,MB1
13135050437,D1,617,3521,3.91275,MB1
13067030273,D1,487,1686,3.9128333333333334,MB1
13067031517,D1,567,1701,3.9184666666666668,MB1
13121006500,D1,48,2661,3.9321833333333336,MB1
13089023215,D1,722,1111,3.94285,MB1
13121011422,D1,46,121,3.946283333333333,MB1
13121007711,D1,56,3851,3.9466166666666664,MB1
13067030258,D1,488,1336,3.9606833333333333,MB1
13121006200,D1,47,2371,3.9623166666666667,MB1
13067030260,D1,488,4911,3.9753833333333333,MB1
13089021420,D1,55,4481,3.9816,MB1
13135050448,D1,617,3011,3.9949999999999997,MB1
13063040418,D2,596,4757,4.0098,MB2
13089023410,D1,302,386,4.013866666666667,MB1
13063040519,D1,217,2091,4.022883333333334,MB1
13067030247,D1,487,1546,4.027416666666666,MB1
13089021417,D1,55,106,4.029366666666666,MB1
13135050464,D1,517,3356,4.03965,MB1
13089023434,D1,527,1076,4.044616666666666,MB1
13121007806,D1,50,2496,4.0644833333333334,MB1
13089023101,D1,303,136,4.068383333333333,MB1
13135050752,D1,535,2846,4.068616666666666,MB1
13063040606,D1,424,4931,4.0752,MB1
13135050444,D2,617,3502,4.078216666666667,MB2
13121010601,D1,348,4726,4.080116666666666,MB1
13063040533,D1,659,926,4.105183333333334,MB1
13063040204,D1,217,1936,4.132666666666667,MB1
13089022005,D2,690,2317,4.134383333333333,MB1
13121010401,D1,841,4001,4.135783333333333,MB1
13121010802,D1,52,3821,4.1481,MB1
13089023000,D1,303,131,4.18475,MB1
13067030107,D1,6,2021,4.190716666666667,MB1
13067030220,D1,487,4981,4.200916666666667,MB1
13089023413,D1,304,396,4.2369,MB1
13067031319,D2,544,1872,4.256483333333334,MB1
13089023429,D1,524,4466,4.2602,MB1
13089022015,D2,198,1272,4.26295,MB1
13067031317,D1,544,1391,4.266783333333334,MB1
13121008301,D1,57,2606,4.2791500000000005,MB1
13067030324,D1,825,2246,4.2963000000000005,MB1
13121010537,D1,660,711,4.296733333333333,MB1
13063040510,D2,658,4872,4.312233333333333,MB2
13089021419,D1,55,1266,4.359716666666667,MB1
13067030254,D1,6,1611,4.3610500000000005,MB1
13063040426,D1,651,3701,4.373516666666666,MB1
13121008103,D2,50,3982,4.378116666666667,MB2
13063040419,D2,596,902,4.391916666666666,MB2
13063040522,D1,658,1991,4.41535,MB1
13135050234,D1,344,2921,4.430750000000001,MB1
13121010522,D2,58,547,4.469533333333334,MB1
13135050447,D2,519,3477,4.4710833333333335,MB1
13063040509,D3,660,4868,4.474266666666667,MB1
13067031005,D2,568,2267,4.487583333333333,MB2
13089023447,D1,304,4586,4.48775,MB1
13067030104,D2,6,2227,4.488733333333333,MB2
13089023322,D1,844,4666,4.513366666666667,MB1
13135050725,D1,697,2161,4.520700000000001,MB1
13121006300,D1,48,2651,4.53665,MB1
13089023801,D1,54,4861,4.560149999999999,MB1
13067030109,D1,5,1561,4.5818666666666665,MB1
13067030405,D1,570,2231,4.590983333333333,MB1
13067031115,D1,695,2126,4.5958,MB1
13135050235,D1,344,3016,4.5958,MB1
13067031118,D1,695,2146,4.596633333333333,MB1
13135050526,D1,345,5006,4.597166666666666,MB1
13089023507,D1,305,2321,4.6040833333333335,MB1
13121007708,D1,56,3906,4.61325,MB1
13067030243,D1,488,4901,4.6166,MB1
13135050416,D1,518,496,4.629966666666666,MB1
13121008602,D1,51,2666,4.635933333333333,MB1
13121010522,D1,216,546,4.642816666666667,MB2
13063040532,D1,217,3686,4.65485,MB1
13089023448,D1,305,1096,4.66775,MB1
13067030908,D1,569,1736,4.6764833333333335,MB1
13063040509,D1,217,4866,4.677533333333333,MB2
13121008301,D2,51,2607,4.677766666666667,MB2
13067031409,D1,63,2026,4.6858,MB1
13089021911,D1,724,331,4.690633333333333,MB1
13135050438,D1,617,3406,4.700166666666666,MB1
13089021309,D1,314,1176,4.707016666666666,MB1
13067031117,D1,695,2141,4.7143999999999995,MB1
13063040617,D1,715,1976,4.7211333333333325,MB1
13135050626,D1,269,3161,4.740683333333333,MB1
13121008202,D1,50,2601,4.753183333333333,MB1
13067030407,D1,570,2081,4.75885,MB1
13089023218,D1,722,4426,4.7748,MB1
13063040536,D1,659,906,4.798883333333333,MB1
13089023221,D1,722,4596,4.805266666666666,MB1
13067031101,D1,695,2201,4.807566666666667,MB1
13063040409,D1,651,4846,4.81175,MB1
13135050306,D2,314,72,4.822966666666667,MB2
13067031318,D2,544,1642,4.826983333333334,MB1
13067031323,D2,63,1802,4.8272,MB2
13121001801,D1,59,3751,4.829766666666667,MB1
13135050753,D1,697,3351,4.83105,MB1
13089023603,D1,302,2331,4.85915,MB1
13089023317,D1,525,4636,4.863583333333334,MB1
13089023329,D1,523,4656,4.878583333333333,MB1
13067030908,D2,567,1737,4.8810666666666664,MB2
13089022206,D1,690,1286,4.895066666666667,MB1
13135050755,D1,535,2861,4.8953999999999995,MB1
13135050539,D1,345,2031,4.907633333333334,MB1
13067030505,D1,570,2236,4.9113,MB1
13067030272,D2,3,1677,4.918,MB1
13067031417,D3,63,1493,4.9200333333333335,MB2
13089021917,D1,724,1186,4.928716666666667,MB1
13089020802,D1,303,326,4.936583333333333,MB1
13089021418,D1,55,1256,4.9407000000000005,MB1
13121008000,D1,47,2551,4.952816666666666,MB1
13089023114,D2,690,417,4.955150000000001,MB1
13067031116,D1,568,2131,4.955766666666666,MB2
13135050318,D1,616,1961,4.95845,MB1
13089023439,D2,304,4502,4.9714833333333335,MB1
13089023445,D2,304,1087,4.97555,MB1
13089022012,D2,690,1207,4.978466666666667,MB2
13135050576,D1,345,3151,4.97935,MB1
13067031101,D2,568,2202,4.98385,MB2
13067031413,D1,63,1576,4.987983333333333,MB1
13063040310,D3,509,4768,4.99315,MB3
13121008500,D1,51,2621,5.002366666666666,MB1
13089021908,D2,844,467,5.00965,MB2
13121001301,D1,59,836,5.0196499999999995,MB1
13121011308,D2,348,4087,5.027833333333334,MB1
13089022800,D1,303,76,5.039833333333333,MB1
13121007807,D1,50,2536,5.0514,MB1
13067030347,D1,825,1681,5.060416666666667,MB1
13063040535,D1,659,911,5.0685666666666664,MB1
13135050459,D3,617,3628,5.075333333333333,MB3
13135050715,D1,697,4966,5.077933333333333,MB1
13121008202,D2,544,2602,5.081066666666667,MB2
13121010801,D1,52,3816,5.08905,MB1
13067031007,D2,569,1467,5.09115,MB1
13063040523,D1,658,1996,5.09475,MB1
13089022010,D1,198,211,5.102166666666666,MB1
13089023209,D2,844,222,5.106883333333333,MB1
13089023115,D3,303,248,5.1091,MB2
13121005503,D1,48,3931,5.118266666666667,MB1
13121010517,D1,660,756,5.11875,MB1
